CENSUSCODE,OTHER_OTHER,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY,TOTAL_RESIDENTIAL,TOTAL_BUILDING
72063210203,265,0,0,1073,1073,1338
72063210204,598,0,0,964,964,1562
72063210300,133,201,0,226,427,560
72063210400,162,0,0,827,827,989
72063210503,103,0,0,852,852,955
72063210504,1135,92,0,1424,1516,2651
72063210505,346,0,0,1268,1268,1614
72063210506,30,0,0,1077,1077,1107
72063210507,41,0,0,1304,1304,1345
72065310100,1306,1,1524,257,1782,3088
72065310200,276,161,4,1011,1176,1452
72065310300,1925,0,0,513,513,2438
72065310400,3577,0,0,0,0,3577
72065310500,2909,0,0,0,0,2909
72065310600,2781,0,0,0,0,2781
72067820101,785,3,0,1046,1049,1834
72067820102,506,0,2,552,554,1060
72067820300,368,13,0,1253,1266,1634
72067820400,81,31,0,603,634,715
72067820500,25,0,0,504,504,529
72069180100,170,0,1504,4,1508,1678
72069180201,615,1,0,892,893,1508
72069180202,2274,0,7,34,41,2315
72069180301,554,0,0,631,631,1185
72069180302,1449,20,0,310,330,1779
72069180400,200,342,0,844,1186,1386
72069180500,309,0,0,1619,1619,1928
72069180600,482,317,0,725,1042,1524
72069180700,115,365,0,686,1051,1166
72069180800,2140,0,0,283,283,2423
72069180901,143,0,150,1630,1780,1923
72069180903,259,0,1573,8,1581,1840
72069180904,97,0,425,548,973,1070
72071410100,1675,0,0,1177,1177,2852
72071410200,139,70,0,1030,1100,1239
72071410300,219,0,23,746,769,988
72071410401,1253,17,0,632,649,1902
72071410403,870,16,0,1394,1410,2280
72071410404,154,0,0,1147,1147,1301
72071410500,404,19,0,2104,2123,2527
72071410600,2044,0,0,570,570,2614
72071410701,481,0,0,771,771,1252
72071410703,1256,0,0,429,429,1685
72071410704,419,0,0,1291,1291,1710
72073956200,2415,0,7,171,178,2593
72073956304,1874,0,0,47,47,1921
72073956305,555,76,0,424,500,1055
72075710102,878,0,0,1267,1267,2145
72075710200,967,0,0,985,985,1952
72075710301,139,7,0,1561,1568,1707
72075710302,256,37,0,1046,1083,1339
72075710400,150,0,0,505,505,655
72075710500,126,0,0,322,322,448
72075710600,193,0,0,546,546,739
72075710700,585,0,0,233,233,818
72075710800,527,0,0,1711,1711,2238
72075710901,202,0,0,1503,1503,1705
72075710902,511,0,7,2290,2297,2808
72075711002,329,0,0,1247,1247,1576
72077500100,3042,0,0,0,0,3042
72077500200,735,0,0,1203,1203,1938
72077500302,1115,0,0,1479,1479,2594
72077500303,1150,17,0,594,611,1761
72077500304,292,0,0,1122,1122,1414
72077500401,1027,25,0,647,672,1699
72077500402,1982,0,0,2,2,1984
72079850101,1372,0,0,60,60,1432
72079850102,2101,7,0,897,904,3005
72079850200,293,22,0,1299,1321,1614
72079850300,1215,0,0,974,974,2189
72079850400,2713,0,490,18,508,3221
72079991100,2,0,0,0,0,2
72081957700,2047,0,0,56,56,2103
72081957800,2897,0,0,0,0,2897
72081957900,1268,0,0,183,183,1451
72081958001,230,116,0,691,807,1037
72081958100,200,68,0,282,350,550
72081958200,1365,0,0,10,10,1375
72081958300,1165,0,0,0,0,1165
72081958400,966,0,0,0,0,966
72083959700,12,0,0,1192,1192,1204
72083959800,65,31,0,546,577,642
72083959900,44,4,0,2119,2123,2167
72085190101,2703,0,0,0,0,2703
72085190103,975,6,0,384,390,1365
72085190104,1774,1,0,247,248,2022
72085190201,618,47,0,826,873,1491
72085190202,304,30,0,447,477,781
72085190302,2031,0,0,3,3,2034
72085190303,2583,0,0,17,17,2600
72085190304,1188,0,0,0,0,1188
72087110101,16,0,0,930,930,946
72087110102,8,0,0,858,858,866
72087110200,24,71,0,701,772,796
72087110301,71,0,0,1122,1122,1193
72087110302,78,0,0,1339,1339,1417
72087110303,30,0,0,481,481,511
72087110304,12,0,0,637,637,649
72087110400,61,172,0,252,424,485
72087110500,82,61,0,238,299,381
72087110600,1064,0,0,0,0,1064
72089140101,736,0,0,799,799,1535
72089140102,1423,0,0,0,0,1423
72089140201,186,117,218,86,421,607
72089140202,151,0,0,1261,1261,1412
72089140300,1354,0,134,791,925,2279
72091570100,2039,202,13,287,502,2541
72091570201,1048,0,0,997,997,2045
72091570202,1370,0,0,405,405,1775
72091570300,325,212,0,315,527,852
72091570400,121,167,0,556,723,844
72091570500,1245,48,0,266,314,1559
72091570600,66,0,0,668,668,734
72091570700,1724,12,0,19,31,1755
72091570800,2171,0,0,607,607,2778
72093960100,281,2,0,1374,1376,1657
72093960200,87,104,0,563,667,754
72095951400,106,0,0,2761,2761,2867
72095951500,15,0,0,1275,1275,1290
72095951600,125,63,0,489,552,677
72097080100,177,15,0,163,178,355
72097080200,76,23,0,277,300,376
72097080300,39,35,0,292,327,366
72097080600,218,140,0,32,172,390
72097080800,108,61,10,522,593,701
72097080900,27,0,0,370,370,397
72097081200,106,217,0,242,459,565
72097081300,120,33,0,498,531,651
72097081501,124,0,0,1116,1116,1240
72097081522,231,2,0,1041,1043,1274
72097081523,163,8,0,696,704,867
72097081524,603,0,0,563,563,1166
72097081601,1263,0,0,648,648,1911
72097081602,1554,0,0,0,0,1554
72097081700,306,3,0,894,897,1203
72097081800,926,0,0,479,479,1405
72097081900,2124,0,2,0,2,2126
72097082001,225,24,0,1584,1608,1833
72097082012,709,6,0,1027,1033,1742
72097082022,1280,0,0,243,243,1523
72097082102,112,58,0,560,618,730
72097082103,79,30,0,722,752,831
72097082104,12,76,0,232,308,320
72097082200,79,6,0,434,440,519
72097082300,193,1,0,519,520,713
72099420100,1556,0,4,1186,1190,2746
72099420200,487,398,0,1418,1816,2303
72099420302,891,0,0,766,766,1657
72099420303,1239,0,0,75,75,1314
72099420304,1109,0,0,0,0,1109
72099420401,1608,0,0,93,93,1701
72099420402,2125,0,0,3,3,2128
72099420500,2711,0,0,194,194,2905
72101955201,896,0,0,367,367,1263
72101955202,1320,0,0,684,684,2004
72101955301,1509,0,0,239,239,1748
72101955302,1276,0,0,11,11,1287
72101955401,2721,0,0,173,173,2894
72101955402,346,0,0,752,752,1098
72101955500,229,12,0,365,377,606
72103170100,2309,0,0,150,150,2459
72103170200,3023,0,0,0,0,3023
72103170300,2151,12,485,253,750,2901
72103170400,784,215,69,888,1172,1956
72105520100,1721,0,0,46,46,1767
72105520200,1692,0,0,144,144,1836
72105520300,303,31,0,296,327,630
72105520400,2046,0,0,402,402,2448
72105520500,3037,0,0,0,0,3037
72107954801,1335,0,0,602,602,1937
72107954802,465,0,0,303,303,768
72107954901,1674,0,0,0,0,1674
72107954902,895,0,0,0,0,895
72107955001,1639,43,0,247,290,1929
72107955002,934,0,0,108,108,1042
72107955100,407,14,0,524,538,945
72109290100,25,0,0,1885,1885,1910
72109290200,316,15,0,1833,1848,2164
72109290300,64,0,12,2020,2032,2096
72109290400,112,0,0,1736,1736,1848
72109990000,1,0,0,0,0,1
72111730100,895,0,0,1000,1000,1895
72111730200,412,0,0,345,345,757
72111730300,390,1,0,1730,1731,2121
72111730400,185,58,0,345,403,588
72111730700,246,0,0,1333,1333,1579
72111730800,910,0,0,527,527,1437
72113070100,462,0,0,750,750,1212
72113070201,39,157,0,324,481,520
72113070202,185,114,0,98,212,397
72113070300,506,64,0,94,158,664
72113070400,26,70,0,99,169,195
72113070502,174,236,0,302,538,712
72113070503,207,46,0,440,486,693
72113070513,39,24,0,375,399,438
72113070514,31,196,0,223,419,450
72113070522,73,156,0,423,579,652
72113070800,321,0,0,44,44,365
72113070900,232,0,0,236,236,468
72113071000,455,0,0,0,0,455
72113071200,891,3,0,25,28,919
72113071300,69,432,0,53,485,554
72113071401,25,5,0,340,345,370
72113071402,100,4,0,694,698,798
72113071500,169,1,0,519,520,689
72113071601,104,220,0,328,548,652
72113071602,159,275,0,266,541,700
72113071700,208,0,1,321,322,530
72113071800,505,0,0,0,0,505
72113071900,203,277,0,128,405,608
72113072000,225,6,0,318,324,549
72113072101,536,53,0,57,110,646
72113072102,159,1,0,1054,1055,1214
72113072201,182,48,0,681,729,911
72113072202,290,141,0,721,862,1152
72113072300,705,0,0,65,65,770
72113072400,1179,15,0,1723,1738,2917
72113072500,1798,0,0,781,781,2579
72113072600,1397,0,0,0,0,1397
72113072701,140,6,5,530,541,681
72113072703,1470,1,0,381,382,1852
72113072704,562,20,0,164,184,746
72113072900,792,0,0,1047,1047,1839
72113073001,1170,0,0,69,69,1239
72113073002,1678,0,0,0,0,1678
72113073003,62,24,0,188,212,274
72113073004,122,0,0,820,820,942
72113073005,40,0,0,562,562,602
72113073006,1280,0,0,0,0,1280
72113073009,423,13,0,962,975,1398
72113073010,144,0,0,509,509,653
72113980001,48,0,67,2,69,117
72115330100,2383,15,101,1055,1171,3554
72115330200,719,74,2,1180,1256,1975
72115330300,2100,0,0,147,147,2247
72115330400,2800,0,0,4,4,2804
72117959401,1032,0,244,487,731,1763
72117959402,749,0,0,0,0,749
72117959500,414,88,76,605,769,1183
72117959601,766,0,0,160,160,926
72117959602,568,0,122,1317,1439,2007
72119130101,494,10,0,1206,1216,1710
72119130102,679,0,0,1276,1276,1955
